mood_scale,beta_interaction,pval_interaction,significant_0.05
EVAaverage,0.4108370402730775,0.4457254725023948,False
EVAmood,0.2374149339618419,0.6863797672839376,False
EVAfeel,0.22939328011105986,0.7854510947358186,False
EVAtense,0.02208981027134201,0.9769626709164049,False
EVAhurt,1.2194440723630604,0.09427074877565252,False
