subject,auc,minority_ratio,n_trials
05,0.79,0.4888888888888889,45
06,0.43,0.4883720930232558,43
08,0.6888888888888889,0.4827586206896552,29
10,0.7833333333333333,0.3888888888888889,18
12,0.8666666666666668,0.47058823529411764,34
14,0.18333333333333332,0.45,20
15,0.9,0.28125,32
19,0.888888888888889,0.5,26
22,0.5222222222222223,0.4642857142857143,28
23,0.5,0.45454545454545453,11
24,0.9333333333333333,0.30434782608695654,23
25,0.6275000000000001,0.4772727272727273,44
28,0.615,0.2903225806451613,31
29,0.58,0.45454545454545453,44
30,0.932,0.4782608695652174,46
31,0.5333333333333334,0.3939393939393939,33
32,0.75,0.5,42
35,0.5333333333333333,0.4782608695652174,23
37,0.64,0.4666666666666667,45
38,0.3333333333333333,0.5,38
40,0.8,0.4230769230769231,26
41,0.22777777777777777,0.5,32
42,0.42777777777777776,0.41379310344827586,29
