predictor,estimate,std_error,z_value,p_value,conf_lower,conf_upper,t_value,p_fdr,significant_fdr,converged,conv_message,singular,re_sd,max_grad,dispersion,n_obs
Intercept,-3.73429098268246,0.150403573187871,-24.8284725125374,4.4178400709334804e-136,-4.02908198613068,-3.43949997923423,-24.8284725125374,,,True,nan,False,obs_id=0.7648; subject=0.9521,0.0001338275978923,0.426750710754551,2460
onoff,-0.467196054694491,0.0447000884333982,-10.4517926265537,1.4378146549470601e-25,-0.554808228023952,-0.379583881365031,-10.4517926265537,8.626887929682362e-25,True,True,nan,False,obs_id=0.7648; subject=0.9521,0.0001338275978923,0.426750710754551,2460
valence,-0.125603717731126,0.0436632789139878,-2.87664419290526,0.0040192851504364,-0.211183744402542,-0.0400236910597096,-2.87664419290526,0.012057855451309201,True,True,nan,False,obs_id=0.7648; subject=0.9521,0.0001338275978923,0.426750710754551,2460
selfother,0.0064171530594153,0.0363261725835167,0.176653707314246,0.859780405093022,-0.0647821452042773,0.077616451323108,0.176653707314246,0.918554109143372,False,True,nan,False,obs_id=0.7648; subject=0.9521,0.0001338275978923,0.426750710754551,2460
time,-0.0034113626207575,0.0333612609812217,-0.10225520620092,0.918554109143372,-0.068799434143952,0.0619767089024369,-0.10225520620092,0.918554109143372,False,True,nan,False,obs_id=0.7648; subject=0.9521,0.0001338275978923,0.426750710754551,2460
confidence,-0.0530114774270156,0.0338438889830869,-1.56635301142571,0.117265996917881,-0.119345499833866,0.0133225449798347,-1.56635301142571,0.17589899537682152,False,True,nan,False,obs_id=0.7648; subject=0.9521,0.0001338275978923,0.426750710754551,2460
time_on_task,0.0502486545635554,0.0277499470122038,1.81076578421779,0.0701771148547792,-0.0041412415803641,0.104638550707475,1.81076578421779,0.1403542297095584,False,True,nan,False,obs_id=0.7648; subject=0.9521,0.0001338275978923,0.426750710754551,2460
