predictor,estimate,std_error,z_value,p_value,conf_lower,conf_upper,t_value,p_fdr,significant_fdr,converged,conv_message,singular,re_sd,max_grad,dispersion,n_obs
Intercept,-1.86784164666137,0.123686317177694,-15.1014412045103,1.58432287099292e-51,-2.11026682832965,-1.62541646499309,-15.1014412045103,,,False,boundary (singular) fit: see help('isSingular'),True,obs_id=0.0000; subject=0.7547,,0.918059075317281,2460
onoff,-0.379756288230706,0.0624361766855702,-6.08231170436919,1.18461980043748e-09,-0.502131194534424,-0.257381381926989,-6.08231170436919,9.47695840349984e-09,True,False,boundary (singular) fit: see help('isSingular'),True,obs_id=0.0000; subject=0.7547,,0.918059075317281,2460
valence,-0.243306544664435,0.0694667046420191,-3.50249153055785,0.00046092843715,-0.379461285762793,-0.107151803566078,-3.50249153055785,0.0018437137486,True,False,boundary (singular) fit: see help('isSingular'),True,obs_id=0.0000; subject=0.7547,,0.918059075317281,2460
valence_sq,0.0885912494142524,0.0455272327450532,1.94589576551582,0.0516672617116217,-0.0006421267660518,0.177824625594557,1.94589576551582,0.08266761873859471,False,False,boundary (singular) fit: see help('isSingular'),True,obs_id=0.0000; subject=0.7547,,0.918059075317281,2460
selfother,0.0163543893644954,0.0519145074583122,0.315025417078802,0.752742355633089,-0.0853980452537966,0.118106823982787,0.315025417078802,0.752742355633089,False,False,boundary (singular) fit: see help('isSingular'),True,obs_id=0.0000; subject=0.7547,,0.918059075317281,2460
time,0.0290084373354078,0.0561771584610579,0.516374236968866,0.605593055881323,-0.0810987932482656,0.139115667919081,0.516374236968866,0.6921063495786548,False,False,boundary (singular) fit: see help('isSingular'),True,obs_id=0.0000; subject=0.7547,,0.918059075317281,2460
time_sq,0.0789127788006836,0.0457838893676484,1.72359272859078,0.0847813921388797,-0.0108236443599072,0.168649201961274,1.72359272859078,0.11304185618517293,False,False,boundary (singular) fit: see help('isSingular'),True,obs_id=0.0000; subject=0.7547,,0.918059075317281,2460
confidence,-0.130888695139402,0.0466407475277276,-2.80631640952131,0.0050111459079729,-0.222304560293748,-0.0394728299850561,-2.80631640952131,0.0133630557545944,True,False,boundary (singular) fit: see help('isSingular'),True,obs_id=0.0000; subject=0.7547,,0.918059075317281,2460
time_on_task,0.087561953266097,0.0383208739819082,2.28496754294894,0.0223147309872745,0.0124530402615568,0.162670866270637,2.28496754294894,0.044629461974549,True,False,boundary (singular) fit: see help('isSingular'),True,obs_id=0.0000; subject=0.7547,,0.918059075317281,2460
