predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,-1.1152653739781284,1.892380327023615,-0.5893452590115681,0.5556296899132761,-4.824262659996544,2.5937319120402864,False,False
inclusion_exclusion[T.inclusion],4.628356606299988,1.2466514115995815,3.7126309433695925,0.0002051158784924852,2.1849647382887896,7.071748474311187,True,True
probe_number,-0.23397477049510002,0.1430743371089246,-1.635337092751802,0.10197840182044492,-0.5143953183405348,0.04644577735033473,False,False
subject_id Var,0.20091045803342605,0.07326488046113136,2.7422478105319983,0.00610202866031222,0.05731393099797627,0.34450698506887584,True,True
