predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,59.864925767789586,2.9026772487161265,20.624037961598464,1.6701974312518171e-94,54.175782901562165,65.554068634017,True,True
group[T.Risk of Depression],-10.5980137185568,4.9562310030878125,-2.1383211783216045,0.032490684844352066,-20.312047983669736,-0.8839794534438621,True,False
subject_id Var,0.8863940047912011,0.2340546079743548,3.7871247759767357,0.00015240057933603226,0.4276554027458244,1.3451326068365779,True,True
