channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
Fz,0.010491915304652037,0.01966193795910968,0.5336155228681805,0.5336155228681805,0.5936075663321121,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Iz,-0.004327626205404622,0.018889971189806714,-0.2290964958030147,-0.2290964958030147,0.8187939169880961,0.9211431566116082,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
O1,-0.023199304824471068,0.01920198972213694,-1.2081719217735982,-1.2081719217735982,0.22698113962939193,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
O2,-0.003029710200218345,0.016630788479055757,-0.18217477806502427,-0.18217477806502427,0.8554455659586678,0.9321857107629954,False,False,nm,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Oz,-0.010941307515308338,0.017036446747771394,-0.6422294318349931,-0.6422294318349931,0.520724225807944,0.8341639180435592,False,False,nm,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P1,0.0057966793538978415,0.018643524026950242,0.3109218700026037,0.3109218700026037,0.7558600180756972,0.892463868601935,False,False,nm,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P2,-0.00027332362997151675,0.014769806793201487,-0.018505565698891002,-0.018505565698891002,0.9852355375411065,0.9999999999467778,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P3,0.011941305388489061,0.01568998200857836,0.7610783353327147,0.7610783353327147,0.44661027970118283,0.8341639180435592,False,False,nm,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P4,0.015558862010489985,0.014191885558775433,1.0963209889237935,1.0963209889237935,0.2729383273116296,0.8341639180435592,False,False,nm,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P5,0.03009385925653966,0.01476421101657603,2.038297828631193,2.038297828631193,0.04152015690996873,0.6865884363141099,False,False,nm,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P6,0.01756570682206989,0.01704054974999957,1.0308180827364641,1.0308180827364641,0.3026261368144676,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P7,0.026985329446766754,0.01637750516425733,1.6477069722231077,1.6477069722231077,0.09941281661619679,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P8,0.02332493778305744,0.019200919776786222,1.214782315337681,1.214782315337681,0.2244491275188426,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO3,-0.013384839795973864,0.01627268941934722,-0.8225339678676665,-0.8225339678676665,0.410773062506675,0.8341639180435592,False,False,nm,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
