channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
P6,,,,,,,False,False,,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P7,,,,,,,False,False,,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P8,,,,,,,False,False,,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO3,,,,,,,False,False,,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO4,,,,,,,False,False,,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO7,4.59353578731404e-05,0.0005228480885153777,0.08785603100046407,0.08785603100046407,0.9299911035908837,0.9578069433176057,False,False,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO8,-0.00030739681569240466,0.0004335862074856771,-0.7089635472377407,-0.7089635472377407,0.4783470982851762,0.9578069433176057,False,False,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
POz,,,,,,,False,False,,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Pz,,,,,,,False,False,,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
T7,0.00023238010044877242,0.00044908811742499095,0.517448784397164,0.517448784397164,0.6048429122383572,0.9578069433176057,False,False,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
T8,-0.0002258041818926688,0.0005352206127848333,-0.4218899207147044,-0.4218899207147044,0.6731053673413918,0.9578069433176057,False,True,lbfgs,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP10,-5.0957065161347706e-05,0.0003832591161349028,-0.13295721619159453,-0.13295721619159453,0.8942272165469017,0.9578069433176057,False,False,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP7,-2.5110309766061172e-05,0.00040834618685068377,-0.06149270049445332,-0.06149270049445332,0.9509668275681815,0.9578069433176057,False,False,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP8,-0.0009327908652363593,0.00039216005895994604,-2.378597319957134,-2.378597319957134,0.01737864882527199,0.6951459530108796,False,True,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP9,4.1139681472503746e-05,0.0004279522690994544,0.0961314717622003,0.0961314717622003,0.9234161561976152,0.9578069433176057,False,True,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
