predictor,sd
onoff,33.06436629606532
valence,22.828362702952102
valence_sq,10.574701317579018
selfother,30.700257329849485
time,21.009379992990446
time_sq,11.423583857528445
confidence,19.247218634826506
time_on_task,17.32398092596714
