Group,Inclusion_Exclusion,N,Mean,SD,SE
Controls,baseline,259,60.56370656370656,21.841367730700153,1.3571565555971317
Controls,inclusion,147,62.74829931972789,21.19441756993978,1.748086098474581
Controls,exclusion,190,61.3421052631579,19.76806830838425,1.4341264068285169
Risk of Depression,baseline,194,50.0360824742268,17.46302495365631,1.2537721239622694
Risk of Depression,inclusion,122,54.60655737704918,14.42538933519256,1.3060133854154488
Risk of Depression,exclusion,116,41.43103448275862,18.435893222747296,1.711729713297039
