predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,-1.1555555555555574,2.6184817606312403,-0.44130746791109454,0.6589904204483672,-6.28768550056782,3.9765743894567045,False,False
group_bdi3[T.Controls High BDI],-3.4077097505669203,3.7686389660686728,-0.9042282323269977,0.36587439279530387,-10.794106394795786,3.978686893661945,False,False
group_bdi3[T.Risk of Depression],4.509347841665881,3.9864037303432505,1.131181924033972,0.2579785283905338,-3.3038598976430116,12.322555580974774,False,False
inclusion_exclusion[T.inclusion],-0.8313779875021213,2.6470467134634013,-0.31407756548970933,0.7534621281632058,-6.0194942112855045,4.356738236281261,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion],8.509924223695162,3.826760977335707,2.223792986835566,0.02616237547575446,1.0096105306738776,16.010237916716445,True,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion],-7.1414619176558025,4.012786225912181,-1.7796766425134984,0.0751288951765081,-15.006378398102086,0.7234545627904803,False,False
probe_number,0.11666666666666617,0.20436199753665876,0.5708823953227328,0.5680793652376669,-0.28387548831384823,0.5172088216471806,False,False
group_bdi3[T.Controls High BDI]:probe_number,0.009098639455782915,0.294127153635249,0.03093437427768488,0.9753218763239812,-0.5673799885445844,0.5855772674561502,False,False
group_bdi3[T.Risk of Depression]:probe_number,-0.4202380952380954,0.3141886342725439,-1.3375343643830178,0.18104827287097558,-1.0360365027641083,0.19556031228791748,False,False
inclusion_exclusion[T.inclusion]:probe_number,-0.06809634299825301,0.29236184806798554,-0.23291802076178542,0.8158250647050008,-0.6411150356650759,0.5049223496685697,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion]:probe_number,-0.4832239157421053,0.42167764031537125,-1.14595574804655,0.25181346257539616,-1.309696903846068,0.3432490723618574,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion]:probe_number,-0.07178460938269805,0.44116992714946923,-0.16271419461095155,0.8707434702566476,-0.9364617776578171,0.792892558892421,False,False
subject_id Var,0.29109012409011037,0.07652987615499215,3.8036142055238664,0.00014260020539401218,0.14109432308501507,0.44108592509520567,True,True
