predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,88.59542295074225,3.4722604032125277,25.515201241466208,1.3368621164451006e-143,81.78991761550117,95.40092828598333,True,True
group_bdi3[T.Controls High BDI],-9.226276680290535,4.997445520604269,-1.846198551290047,0.06486338124535715,-19.021089915375924,0.5685365547948518,False,False
group_bdi3[T.Risk of Depression],-9.693225640377843,5.208577931009605,-1.8610119247076247,0.06274249273136052,-19.90185079582682,0.5153995150711346,False,False
time_on_task,-0.00978356740677234,0.026166358528220787,-0.37389869882813936,0.7084796845421617,-0.061068687728647576,0.0415015529151029,False,False
group_bdi3[T.Controls High BDI]:time_on_task,-0.03934902985883766,0.038084751056547045,-1.0331964570390249,0.3015119705857301,-0.11399377028984364,0.03529571057216832,False,False
group_bdi3[T.Risk of Depression]:time_on_task,-0.15064811061360037,0.03976664065466402,-3.788303666931233,0.00015167938791637,-0.22858929408288817,-0.07270692714431257,True,True
subject_id Var,0.9119243102777347,0.21504193849091116,4.24068122096229,2.2284243413885475e-05,0.4904498556698712,1.3333987648855983,True,True
