predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,-4.872645922262902,2.138195240527165,-2.2788592126234306,0.022675435681407084,-9.063431585611102,-0.6818602589147007,True,False
group[T.Risk of Depression],-8.12587565623304,3.897289119983421,-2.085007143700852,0.037068652089839255,-15.764421968740347,-0.4873293437257331,True,False
inclusion_exclusion[T.inclusion],3.2632375920770813,1.047935508225576,3.113967955530566,0.0018458953633563632,1.209321737834275,5.317153446319887,True,True
probe_number,-0.4580009193555404,0.14139186736484094,-3.239230996035552,0.0011985246342505445,-0.7351238870974929,-0.18087795161358788,True,True
group[T.Risk of Depression]:probe_number,0.12942949078411106,0.26514799848166126,0.48814055367294407,0.6254502879108205,-0.390251036812826,0.6491100183810481,False,False
subject_id Var,0.24771567240180895,0.06482150479608227,3.821504501956279,0.00013263999215217388,0.1206678575777973,0.3747634872258206,True,True
