predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,4.17917615288621,3.7629532855977805,1.1106106921075714,0.2667359584768364,-3.196076762392104,11.554429068164524,False,False
group[T.Risk of Depression],-1.086231711796433,4.666023159195414,-0.23279603952581698,0.8159197884471547,-10.231469054849248,8.059005631256381,False,False
inclusion_exclusion[T.inclusion],-2.066145326607069,3.2493503227438882,-0.6358641332530526,0.5248649818677888,-8.434754932338691,4.302464279124552,False,False
group[T.Risk of Depression]:inclusion_exclusion[T.inclusion],0.06847881945936073,4.711524288767614,0.014534323769192035,0.9884036957442004,-9.165939098810856,9.30289673772958,False,False
probe_number,-0.0379519436469542,0.26185562695951425,-0.14493461182265135,0.8847624986643626,-0.5511795416367578,0.47527565434284935,False,False
subject_id Var,0.11554692675008157,0.053165171082937605,2.1733575646700825,0.02975341605772967,0.011345106195613519,0.21974874730454963,True,False
