metric,type,value
auc,true,0.6119265232974911
auc,true,0.5917007168458781
auc,true,0.571399641577061
auc,true,0.5751935483870967
auc,true,0.5999677419354839
auc,true,0.5904516129032259
auc,true,0.5695340501792114
auc,true,0.5909767025089606
auc,true,0.5994946236559139
auc,true,0.5954767025089606
auc,true,0.5681254480286737
auc,true,0.5899551971326165
auc,true,0.5797580645161289
auc,true,0.5716182795698925
auc,true,0.6056792114695341
auc,true,0.5920555555555557
auc,true,0.5776541218637993
auc,true,0.6025035842293908
auc,true,0.6077455197132615
auc,true,0.5813620071684586
auc,true,0.5941827956989247
auc,true,0.5840627240143369
auc,true,0.6081863799283154
auc,true,0.5866612903225807
auc,true,0.5759426523297491
auc,true,0.5950806451612903
auc,true,0.5765681003584229
auc,true,0.5911989247311829
auc,true,0.5833297491039426
auc,true,0.59334229390681
auc,true,0.5769050179211469
auc,true,0.5748476702508961
auc,true,0.5800878136200716
auc,true,0.6129534050179211
auc,true,0.6136308243727598
auc,true,0.5879175627240145
auc,true,0.5615412186379928
auc,true,0.6050663082437276
auc,true,0.5790681003584229
auc,true,0.6010878136200718
auc,true,0.5818763440860214
auc,true,0.574005376344086
auc,true,0.578258064516129
auc,true,0.5871810035842295
auc,true,0.6070985663082438
auc,true,0.5815591397849463
auc,true,0.5741129032258063
auc,true,0.5879247311827959
auc,true,0.5832132616487454
auc,true,0.5854623655913979
auc,true,0.5686917562724014
auc,true,0.590478494623656
auc,true,0.587057347670251
auc,true,0.574741935483871
auc,true,0.5772473118279571
auc,true,0.5813548387096774
auc,true,0.5947598566308243
auc,true,0.5942903225806451
auc,true,0.5846129032258064
auc,true,0.572241935483871
auc,true,0.6112060931899641
auc,true,0.599084229390681
auc,true,0.587905017921147
auc,true,0.5910412186379929
auc,true,0.6149641577060931
auc,true,0.6020824372759855
auc,true,0.5962903225806452
auc,true,0.5791308243727599
auc,true,0.6155555555555554
auc,true,0.5990698924731183
auc,true,0.5682204301075269
auc,true,0.6007473118279569
auc,true,0.616068100358423
auc,true,0.5987724014336917
auc,true,0.5706075268817205
auc,true,0.5599068100358424
auc,true,0.5784354838709677
auc,true,0.595568100358423
auc,true,0.5876827956989248
auc,true,0.591663082437276
auc,true,0.5730645161290324
auc,true,0.5857007168458781
auc,true,0.5704068100358424
auc,true,0.5807114695340502
auc,true,0.5842652329749104
auc,true,0.5877956989247309
auc,true,0.5652114695340502
auc,true,0.5665591397849463
auc,true,0.5825232974910394
auc,true,0.6005179211469533
auc,true,0.5895394265232974
auc,true,0.5936702508960573
auc,true,0.5859121863799283
auc,true,0.594584229390681
auc,true,0.5587526881720429
auc,true,0.5755304659498208
auc,true,0.5926146953405018
auc,true,0.5701362007168459
auc,true,0.6102616487455199
auc,true,0.5870913978494624
auc,permuted,0.4896684027777778
auc,permuted,0.5463333333333333
auc,permuted,0.4533194444444444
auc,permuted,0.5188819444444445
auc,permuted,0.5019253472222223
auc,permuted,0.518220486111111
auc,permuted,0.4826597222222222
auc,permuted,0.5313524305555556
auc,permuted,0.4666059027777777
auc,permuted,0.5270121527777778
auc,permuted,0.5069791666666668
auc,permuted,0.4696857638888889
auc,permuted,0.499984375
auc,permuted,0.5268263888888889
auc,permuted,0.5061753472222222
auc,permuted,0.5057465277777777
auc,permuted,0.5672239583333334
auc,permuted,0.5126788194444445
auc,permuted,0.4641076388888889
auc,permuted,0.5236788194444444
auc,permuted,0.5010434027777777
auc,permuted,0.4741597222222222
auc,permuted,0.5077465277777777
auc,permuted,0.4502569444444444
auc,permuted,0.4686041666666666
auc,permuted,0.4499809027777778
auc,permuted,0.4811128472222222
auc,permuted,0.5379982638888889
auc,permuted,0.4982430555555556
auc,permuted,0.4739895833333333
auc,permuted,0.46296875
auc,permuted,0.5065503472222223
auc,permuted,0.5084826388888888
auc,permuted,0.524265625
auc,permuted,0.525265625
auc,permuted,0.4863524305555556
auc,permuted,0.4562517361111111
auc,permuted,0.5162170138888889
auc,permuted,0.5010729166666668
auc,permuted,0.5205746527777777
auc,permuted,0.4904878472222221
auc,permuted,0.566078125
auc,permuted,0.4966875
auc,permuted,0.5128611111111111
auc,permuted,0.4979461805555555
auc,permuted,0.4872968750000001
auc,permuted,0.4789965277777778
auc,permuted,0.4837065972222222
auc,permuted,0.512765625
auc,permuted,0.4976927083333333
auc,permuted,0.5265277777777777
auc,permuted,0.4941302083333333
auc,permuted,0.4914982638888889
auc,permuted,0.4893802083333334
auc,permuted,0.4875173611111111
auc,permuted,0.4931562499999999
auc,permuted,0.5365486111111111
auc,permuted,0.5026024305555555
auc,permuted,0.5258819444444445
auc,permuted,0.4976284722222223
auc,permuted,0.5021961805555556
auc,permuted,0.4907899305555555
auc,permuted,0.4801614583333333
auc,permuted,0.5088315972222222
auc,permuted,0.5662222222222222
auc,permuted,0.4417743055555556
auc,permuted,0.4711111111111111
auc,permuted,0.4850590277777777
auc,permuted,0.4983732638888889
auc,permuted,0.4678003472222222
auc,permuted,0.5166979166666668
auc,permuted,0.4970190972222221
auc,permuted,0.4900833333333333
auc,permuted,0.4830989583333333
auc,permuted,0.4802829861111111
auc,permuted,0.5122760416666667
auc,permuted,0.4960416666666666
auc,permuted,0.5130416666666666
auc,permuted,0.5197847222222222
auc,permuted,0.5311145833333333
auc,permuted,0.5052048611111112
auc,permuted,0.4580104166666666
auc,permuted,0.4806649305555555
auc,permuted,0.4614930555555555
auc,permuted,0.475
auc,permuted,0.4778836805555555
auc,permuted,0.5055538194444444
auc,permuted,0.5455329861111111
auc,permuted,0.4637725694444444
auc,permuted,0.511671875
auc,permuted,0.5179965277777778
auc,permuted,0.4888454861111111
auc,permuted,0.4931927083333333
auc,permuted,0.52971875
auc,permuted,0.5424652777777778
auc,permuted,0.4784375
auc,permuted,0.4989027777777777
auc,permuted,0.4530121527777778
auc,permuted,0.5280416666666666
auc,permuted,0.5120277777777777
auc,permuted,0.5220520833333334
auc,permuted,0.4553680555555556
auc,permuted,0.5219722222222222
auc,permuted,0.4756770833333333
auc,permuted,0.5134392361111111
auc,permuted,0.4949427083333333
auc,permuted,0.5265000000000001
auc,permuted,0.5050885416666666
auc,permuted,0.4966805555555555
auc,permuted,0.5141909722222222
auc,permuted,0.4868802083333333
auc,permuted,0.4961909722222222
auc,permuted,0.4976371527777777
auc,permuted,0.4613819444444444
auc,permuted,0.5464704861111112
auc,permuted,0.5396406250000001
auc,permuted,0.4629427083333333
auc,permuted,0.5287465277777779
auc,permuted,0.4764704861111111
auc,permuted,0.4981822916666667
auc,permuted,0.506140625
auc,permuted,0.4748940972222222
auc,permuted,0.4926788194444444
auc,permuted,0.506828125
auc,permuted,0.5099618055555556
auc,permuted,0.4991319444444445
auc,permuted,0.5502847222222222
auc,permuted,0.4730763888888888
auc,permuted,0.5079375
auc,permuted,0.5034583333333333
auc,permuted,0.5040503472222222
auc,permuted,0.4715260416666667
auc,permuted,0.5009201388888889
auc,permuted,0.5064010416666667
auc,permuted,0.4902534722222222
auc,permuted,0.50065625
auc,permuted,0.5069600694444445
auc,permuted,0.5253697916666666
auc,permuted,0.4655503472222222
auc,permuted,0.4963559027777778
auc,permuted,0.5213385416666667
auc,permuted,0.5146041666666668
auc,permuted,0.4994461805555555
auc,permuted,0.5223541666666667
auc,permuted,0.5075607638888889
auc,permuted,0.4923506944444444
auc,permuted,0.5084583333333332
auc,permuted,0.4550677083333333
auc,permuted,0.4824652777777778
auc,permuted,0.511232638888889
auc,permuted,0.4947395833333333
auc,permuted,0.4458020833333334
auc,permuted,0.5240815972222223
auc,permuted,0.5504184027777779
auc,permuted,0.4847395833333333
auc,permuted,0.5048680555555556
auc,permuted,0.5111006944444445
auc,permuted,0.4928871527777778
auc,permuted,0.4657690972222222
auc,permuted,0.5245312500000001
auc,permuted,0.5143854166666666
auc,permuted,0.5096111111111112
auc,permuted,0.4757621527777778
auc,permuted,0.4934913194444444
auc,permuted,0.4788784722222222
auc,permuted,0.5328975694444444
auc,permuted,0.4599930555555556
auc,permuted,0.5033993055555556
auc,permuted,0.4915260416666667
auc,permuted,0.5154704861111111
auc,permuted,0.4985868055555555
auc,permuted,0.5356701388888889
auc,permuted,0.4844930555555555
auc,permuted,0.4650381944444444
auc,permuted,0.4757256944444444
auc,permuted,0.4936701388888889
auc,permuted,0.51659375
auc,permuted,0.5594965277777778
auc,permuted,0.5284548611111111
auc,permuted,0.5103472222222222
