subject,auc,minority_ratio,n_trials
05,0.5786666666666667,0.49019607843137253,51
06,0.5800000000000001,0.425531914893617,47
08,0.8099999999999999,0.4318181818181818,44
09,0.5833333333333334,0.4166666666666667,36
12,0.7875,0.4864864864864865,37
13,0.7333333333333335,0.25,20
14,0.7116666666666667,0.4523809523809524,42
18,0.6506666666666666,0.46153846153846156,52
22,0.6706666666666667,0.4807692307692308,52
32,0.46033333333333337,0.48,50
34,0.5800000000000001,0.4716981132075472,53
38,0.75,0.4878048780487805,41
43,0.4503333333333333,0.44680851063829785,47
