predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,0.42141331231720874,3.0805561946492475,0.13679780068585665,0.8911906220996064,-5.616365881547076,6.459192506181494,False,False
group[T.Risk of Depression],-8.460841450627381,4.327445798135429,-1.9551582724093073,0.05056439203262803,-16.942479360022013,0.020796458767248893,False,False
inclusion_exclusion[T.inclusion],3.5366450087293053,2.0209036185892466,1.7500315087753509,0.08011287689221741,-0.4242532999322881,7.497543317390899,False,False
group[T.Risk of Depression]:inclusion_exclusion[T.inclusion],10.585856807239015,2.9214601678072833,3.6234814781624367,0.0002906640271035668,4.8599000960683965,16.311813518409632,True,True
probe_number,-0.20155492493723046,0.1588274789144682,-1.269017970409087,0.20443465479992318,-0.512851063364883,0.10974121349042201,False,False
subject_id Var,0.41911254818483556,0.17351674487017574,2.415401167757113,0.015717887445677085,0.07902597752466595,0.7591991188450051,True,False
