run_idx,subject,fold_idx,auc,auprc,mcc,balanced_accuracy
0,03,0,0.5789473684210527,0.5015473798040725,0.11455108359133127,0.5572755417956656
0,04,1,0.576923076923077,0.7639414794541015,0.1086310236566852,0.5576923076923077
0,05,2,0.72,0.6661155417798656,0.35,0.675
0,06,3,0.5359848484848484,0.5673629222129856,0.045454545454545456,0.5227272727272727
0,08,4,0.6623376623376624,0.6511298901994134,0.1745949755388324,0.5844155844155844
0,09,5,0.5441176470588235,0.7069201209294089,-0.22390553775994954,0.3897058823529412
0,10,6,0.5642857142857143,0.4489729225023342,0.21821789023599236,0.6071428571428572
0,12,7,0.5,0.497885440725998,0.28749445424997294,0.6285714285714286
0,18,8,0.42261904761904767,0.45276281225476284,-0.06534666277174166,0.46726190476190477
0,21,9,0.46153846153846156,0.42938311688311687,-0.24514516892273003,0.3557692307692308
0,22,10,0.4063545150501673,0.4878074138539425,-0.14715719063545152,0.4264214046822743
0,24,11,0.39115646258503406,0.35108488502857194,-0.07142857142857142,0.4642857142857143
0,25,12,0.4270833333333333,0.5930342250485439,-0.0890870806374748,0.4583333333333333
0,26,13,0.453781512605042,0.7307035639836152,-0.15877683720748895,0.4243697478991597
0,27,14,0.42857142857142855,0.4748683772367983,-0.07312724241271307,0.4642857142857143
0,28,15,0.5614035087719298,0.8049476750068492,0.11470786693528089,0.5657894736842105
0,29,16,0.46190476190476193,0.6230892286825374,-0.03333333333333333,0.48333333333333334
0,30,17,0.5692307692307692,0.5970096621644609,-0.0381690510345287,0.4807692307692308
0,31,18,0.5357142857142857,0.7971102835073423,-0.022875450543583874,0.48809523809523814
0,32,19,0.7309782608695652,0.7905228193224558,0.4231944290295931,0.7133152173913043
0,34,20,0.5895652173913043,0.6121945362950414,0.10684109585195133,0.5495652173913044
0,37,21,0.5619047619047618,0.7638623078785967,-0.02706659809803834,0.4857142857142857
0,38,22,0.4888888888888888,0.4268717192630236,-0.15114173098063566,0.4222222222222222
0,39,23,0.3209876543209877,0.4485794488956909,-0.2782074420373286,0.3611111111111111
0,40,24,0.7619047619047619,0.893817221968864,0.33008622524996895,0.6845238095238095
0,41,25,0.42857142857142855,0.7462310350468244,-0.08819171036881969,0.45
0,42,26,0.8117647058823529,0.9481197003688353,0.49195203701447265,0.7823529411764706
0,43,27,0.55,0.7757830845853954,0.03450738623384265,0.5192307692307692
