subject,auc,subject_median,dist_from_50
03,0.5789473684210527,50.0,0.0
04,0.576923076923077,58.0,8.0
05,0.72,82.0,32.0
06,0.5359848484848484,58.0,8.0
08,0.6623376623376624,41.0,9.0
09,0.5441176470588235,78.0,28.0
10,0.5642857142857143,38.0,12.0
12,0.5,43.0,7.0
18,0.42261904761904767,64.0,14.0
21,0.46153846153846156,43.0,7.0
22,0.4063545150501673,73.0,23.0
24,0.39115646258503406,52.0,2.0
25,0.4270833333333333,57.0,7.0
26,0.453781512605042,72.0,22.0
27,0.42857142857142855,50.5,0.5
28,0.5614035087719298,64.0,14.0
29,0.46190476190476193,58.0,8.0
30,0.5692307692307692,38.0,12.0
31,0.5357142857142857,61.0,11.0
32,0.7309782608695652,68.0,18.0
34,0.5895652173913043,69.5,19.5
37,0.5619047619047618,63.0,13.0
38,0.4888888888888888,32.5,17.5
39,0.3209876543209877,60.5,10.5
40,0.7619047619047619,73.0,23.0
41,0.42857142857142855,59.0,9.0
42,0.8117647058823529,63.0,13.0
43,0.55,69.0,19.0
