predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,1.0881534514836955,7.313826165609106,0.14878032740241817,0.8817269743109044,-13.246682422296834,15.422989325264224,False,False
group_bdi3[T.Controls High BDI],-9.274711689698783,9.651947585329863,-0.9609160853500235,0.33659436228583106,-28.192181337613654,9.642757958216087,False,False
group_bdi3[T.Risk of Depression],-5.3348342626685215,9.293336863877867,-0.5740493797663151,0.5659343865302673,-23.549439812067558,12.879771286730513,False,False
inclusion_exclusion[T.inclusion],-2.546906561356628,2.284749438044982,-1.1147421765145367,0.2649609216754415,-7.024933173622921,1.9311200509096644,False,False
probe_number,-0.6245605350521071,0.5464482166794085,-1.1429455088120926,0.2530612160316398,-1.6955793591598873,0.4464582890556732,False,False
group_bdi3[T.Controls High BDI]:probe_number,1.0339197432453233,0.7176607546955353,1.44068034441142,0.14967501034655284,-0.37266948907576025,2.4405089755664067,False,False
group_bdi3[T.Risk of Depression]:probe_number,0.3259521046318283,0.6636503209772003,0.49115037592670185,0.6233200939331522,-0.9747786228119311,1.6266828320755877,False,False
subject_id Var,0.4034030919837092,0.16732991349206355,2.410824720846118,0.015916495639309296,0.0754424880030618,0.7313636959643566,True,False
