cluster_id,cluster_type,n_electrodes,electrodes,cluster_stat,p_value
0,positive,11,"C4,CP1,CPz,Cz,F3,FC1,FC2,FC3,FC4,FC5,Pz",30.063678541225684,0.0001999600079984003
1,positive,1,Oz,3.6384379526308366,0.08918216356728655
2,positive,1,P8,2.3007570762660166,0.3421315736852629
3,positive,1,PO7,2.5421055631898932,0.23015396920615877
