predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,-2.6520634920635016,1.8166537505738096,-1.4598618428117185,0.14432804792677692,-6.212639415567779,0.908512431440776,False,False
group[T.Risk of Depression],6.005640878856024,3.465333682323222,1.7330627955082623,0.08308450815316934,-0.7862883329110559,12.797570090623104,False,False
inclusion_exclusion[T.inclusion],3.1134525379334193,1.8689688442841963,1.6658664736200313,0.09574001256551853,-0.5496590850910539,6.776564160957893,False,False
group[T.Risk of Depression]:inclusion_exclusion[T.inclusion],-11.086077543773573,3.531381051649291,-3.1393036836384303,0.001693498444119183,-18.007457220693365,-4.164697866853782,True,True
probe_number,0.1101190476190473,0.1435706503784021,0.7670024989704507,0.44308002974334604,-0.17127425635961274,0.3915123515977073,False,False
group[T.Risk of Depression]:probe_number,-0.4136904761904746,0.27717959351182286,-1.4924997578251697,0.13556818068765414,-0.9569524967230995,0.12957154434215024,False,False
inclusion_exclusion[T.inclusion]:probe_number,-0.28422937350437216,0.20687715305846965,-1.3739041228203699,0.16947144954380478,-0.689701142723153,0.12124239571440865,False,False
group[T.Risk of Depression]:inclusion_exclusion[T.inclusion]:probe_number,0.14434842112341975,0.3880019084902457,0.37203018326660797,0.7098703767066133,-0.6161213454502676,0.9048181876971071,False,False
subject_id Var,0.2765761267222019,0.07115193796883068,3.8871200787722855,0.0001014405802516696,0.13712089087306575,0.416031362571338,True,True
