cluster_id,cluster_type,n_electrodes,electrodes,cluster_stat,p_value
0,negative,5,"CP6,P6,P8,PO8,TP8",-12.434823944924222,0.01979604079184163
1,negative,1,CPz,-2.5229452157683427,0.1893621275744851
2,negative,4,"F1,F2,F4,Fz",-11.016488166897727,0.023195360927814438
3,negative,1,FT8,-3.9779383546732485,0.11737652469506099
4,negative,1,Oz,-2.345433846846669,0.2481503699260148
