thought_dim,mood_scale,a_coef,a_se,b_coef,b_se,ab_effect,ci_lower,ci_upper,is_significant,time_on_thought,time_on_thought_se,time_on_mood,time_on_mood_se,baseline_effect,baseline_se
onoff,EVAaverage,-0.7008942948580275,0.3832197505496439,0.0014047803878662602,0.17517124627152397,-0.0032260540882195544,-0.3010585848431273,0.28601277008615655,False,-0.062235787611601166,0.048505895647869154,-0.07121421886835533,0.17037233915016628,0.5761737445391475,
onoff,EVAmood,-0.7008942948580275,0.3832197505496439,0.12867718855777407,0.1520114058308169,-0.09223854179087987,-0.40451777078828305,0.1267473676884645,False,-0.062235787611601166,0.048505895647869154,0.10315022388264575,0.14933472787885532,0.6088529266564626,
onoff,EVAfeel,-0.7008942948580275,0.3832197505496439,0.1553204400317175,0.20711123660087113,-0.11163913684652996,-0.5278806164684249,0.18908610331600353,False,-0.062235787611601166,0.048505895647869154,-0.2095097674074349,0.20243558003744117,0.5212265115062836,
onoff,EVAtense,-0.7008942948580275,0.3832197505496439,-0.08027527161559901,0.21136750086692652,0.053626966196257016,-0.2726942389383756,0.43614812463623265,False,-0.062235787611601166,0.048505895647869154,-0.0885854496607082,0.2219618928979397,0.6112346839944781,0.15920417771679665
onoff,EVAhurt,-0.7008942948580275,0.3832197505496439,-0.1975420337038996,0.23902044584055304,0.13556090026017378,-0.21057846829298973,0.6196139048161866,False,-0.062235787611601166,0.048505895647869154,-0.10432266394782552,0.23023712167060406,0.6057635098162871,
valence,EVAaverage,-0.6141908725960102,0.3811206058501643,0.1505270528450834,0.21293278946979655,-0.0950444044411332,-0.4908580706256701,0.18270491057784446,False,0.025108629336988868,0.047211094750699484,-0.05770599892006814,0.17188750316029688,0.5387458655254281,0.046390282352703524
valence,EVAmood,-0.6141908725960102,0.3811206058501643,0.026442271292449093,0.19520151872640498,-0.018526009468852873,-0.3305680143622891,0.2663811932023879,False,0.025108629336988868,0.047211094750699484,0.09779519584422137,0.15084438495106325,0.6227678718784443,
valence,EVAfeel,-0.6141908725960102,0.3811206058501643,0.17273293101381262,0.24432862737728364,-0.10906524764862587,-0.5632439728503142,0.20962972354631373,False,0.025108629336988868,0.047211094750699484,-0.20314458768073007,0.20559423186216116,0.5009847812167014,0.0430020268913642
valence,EVAtense,-0.6141908725960102,0.3811206058501643,0.0320581238342914,0.2426223475767123,-0.022529757454649166,-0.4100607377269775,0.33180713862393063,False,0.025108629336988868,0.047211094750699484,-0.08667877002002397,0.2233191166836845,0.608262132407607,0.16492142352832787
valence,EVAhurt,-0.6141908725960102,0.3811206058501643,0.22169011633281174,0.26563221265889236,-0.13942123032715062,-0.6473800733482323,0.20165024653652844,False,0.025108629336988868,0.047211094750699484,-0.08680377886502107,0.23026851623326344,0.5628628640363311,
time,EVAaverage,-0.042271998269598696,0.3261197742097442,0.16315261008237672,0.15400593715278604,-0.007531468198677462,-0.17548997916390155,0.1455879477696076,False,-0.07854170434538113,0.10058266879061215,-0.05942312354230608,0.16774035850945315,0.5792640010988179,
time,EVAmood,-0.042271998269598696,0.3261197742097442,0.18600483555072317,0.07510804048189032,-0.008246469352775832,-0.1457713618960918,0.12524948009624798,False,-0.07854170434538113,0.10058266879061215,0.11016066450710486,0.148010177267236,0.6314806384022447,
time,EVAfeel,-0.042271998269598696,0.3261197742097442,0.2046100489753383,0.1959047608533356,-0.009454587383657719,-0.22183695318920288,0.18343341612245476,False,-0.07854170434538113,0.10058266879061215,-0.20362595697947758,0.20165606471746506,0.542343756487656,
time,EVAtense,-0.042271998269598696,0.3261197742097442,0.07342175860653233,0.24989271510239844,-0.004000263764799054,-0.1998496344551954,0.1788943973552564,False,-0.07854170434538113,0.10058266879061215,-0.0835578980747745,0.2304428351358167,0.6150963790798878,0.16739905286564793
time,EVAhurt,-0.042271998269598696,0.3261197742097442,0.2108583027336358,0.22358055742251245,-0.009816698502270037,-0.24170602481754302,0.19796180410032246,False,-0.07854170434538113,0.10058266879061215,-0.08165591749344832,0.22762477836913642,0.5953318328110984,
selfother,EVAaverage,0.09299005240221062,0.36350195629331983,0.32245550785554744,0.1821820800947429,0.029393239073115154,-0.24028046401129396,0.3320194292825358,False,0.1649664487468615,0.07212975014517943,-0.08667656398066396,0.1694790657270421,0.5076558776077089,0.028891040917692783
selfother,EVAmood,0.09299005240221062,0.36350195629331983,0.03482160880956441,0.15829527729319512,0.0029142588371428844,-0.12760752665696318,0.13916647888029385,False,0.1649664487468615,0.07212975014517943,0.09313864173962366,0.15026881085428478,0.6238249660473725,
selfother,EVAfeel,0.09299005240221062,0.36350195629331983,0.2987518792953614,0.20581604837045825,0.027163133392874284,-0.23591532786016958,0.32932667563895207,False,0.1649664487468615,0.07212975014517943,-0.23822411595068663,0.20445694822379545,0.49513945062614595,
selfother,EVAtense,0.09299005240221062,0.36350195629331983,0.5567239582950541,0.23701281204220565,0.050893185360970365,-0.3897094273503455,0.5268618179203562,False,0.1649664487468615,0.07212975014517943,-0.11243978329318206,0.2125148634433311,0.4989084009217442,0.19950202653038382
selfother,EVAhurt,0.09299005240221062,0.36350195629331983,0.2848450532787406,0.23512682608263127,0.025825783593828915,-0.24227129770555705,0.340033178885845,False,0.1649664487468615,0.07212975014517943,-0.12128189364428026,0.23101128875516538,0.5599495262038736,
confidence,EVAaverage,-0.42878404461484887,0.38888123982643247,0.16782450005007668,0.1780469408344275,-0.07372993545302782,-0.38413747633918177,0.11737804268283537,False,-0.04288582598216142,0.054074143982550525,-0.06374439717282113,0.16793042758578383,0.5473002405981037,
confidence,EVAmood,-0.42878404461484887,0.38888123982643247,0.07531233942970471,0.16122229352874393,-0.03383131845153547,-0.27406292351386524,0.14049195105282034,False,-0.04288582598216142,0.054074143982550525,0.09751307652983576,0.1497073494066353,0.6188415449626546,
confidence,EVAfeel,-0.42878404461484887,0.38888123982643247,0.1532429043015103,0.19777827683861215,-0.06764611315066019,-0.39534674332378417,0.14181598531932646,False,-0.04288582598216142,0.054074143982550525,-0.2115015270035156,0.20222450822508126,0.5150475210539631,
confidence,EVAtense,-0.42878404461484887,0.38888123982643247,0.06893831595256783,0.2337654922255222,-0.031757095823721604,-0.3604990693279744,0.23177538224805103,False,-0.04288582598216142,0.054074143982550525,-0.08652112306769182,0.2245342758485256,0.6048211740035045,0.16750509965706042
confidence,EVAhurt,-0.42878404461484887,0.38888123982643247,0.31808548372218154,0.21951134138542663,-0.1386638783038326,-0.5820943098366496,0.13434846110378387,False,-0.04288582598216142,0.054074143982550525,-0.0890536797763227,0.2229456396677149,0.5541076689832911,
pca1,EVAaverage,-0.42525879723979587,0.38908991382049746,0.34303999411888897,0.18638556911217563,-0.14786372231966685,-0.5606535074123452,0.1257957318289738,False,0.06334154107780433,0.04937623956430307,-0.047602381346948795,0.16871400871092077,0.48714148615518754,
pca1,EVAmood,-0.42525879723979587,0.38908991382049746,0.1372875232380695,0.14215337327148017,-0.05979174905176073,-0.3086670410280448,0.09312798471015198,False,0.06334154107780433,0.04937623956430307,0.10357568380868173,0.14968680291741415,0.5893866553010176,
pca1,EVAfeel,-0.42525879723979587,0.38908991382049746,0.33877471558574795,0.21242316075252185,-0.14628351562115582,-0.5866206998550593,0.1330136764750413,False,0.06334154107780433,0.04937623956430307,-0.20126936055073735,0.2023305855309587,0.4749060804494355,
pca1,EVAtense,-0.42525879723979587,0.38908991382049746,0.3022231554811733,0.2690390540970132,-0.1312249990955406,-0.6242268974430446,0.1705975223992377,False,0.06334154107780433,0.04937623956430307,-0.07245849186731254,0.21835485848291253,0.553269530322698,0.17537795117445204
pca1,EVAhurt,-0.42525879723979587,0.38908991382049746,0.37594542728305624,0.23769207629511202,-0.16235176317629316,-0.6532842440011681,0.14879298906024613,False,0.06334154107780433,0.04937623956430307,-0.08607491559486677,0.22817904588538115,0.5348391867279045,
