marker_name,marker_type,n_clusters,min_cluster_p_uncorrected,min_cluster_p_corrected,n_sig_uncorrected,n_sig_corrected,marker_p_uncorrected,marker_p_corrected,marker_rejected,correction_method,correction_unit,correction_family_size,correction_alpha
evoked/N1,evoked,1,0.09898020395920816,0.39592081583683264,0,0,0.09898020395920816,0.39592081583683264,False,fdr_bh,marker,4,0.05
evoked/P1,evoked,0,,,0,0,1.0,1.0,False,fdr_bh,marker,4,0.05
evoked/P3a,evoked,0,,,0,0,1.0,1.0,False,fdr_bh,marker,4,0.05
evoked/P3b,evoked,1,0.241751649670066,0.483503299340132,0,0,0.241751649670066,0.483503299340132,False,fdr_bh,marker,4,0.05
sleep/PE_alpha,sleep,1,0.16876624675064986,0.20940517778797182,0,0,0.16876624675064986,0.20940517778797182,False,fdr_bh,marker,19,0.05
sleep/PE_beta,sleep,1,0.11477704459108179,0.19825125883914127,0,0,0.11477704459108179,0.19825125883914127,False,fdr_bh,marker,19,0.05
sleep/PE_gamma,sleep,2,0.130373925214957,0.2064253815903486,0,0,0.130373925214957,0.2064253815903486,False,fdr_bh,marker,19,0.05
sleep/PE_theta,sleep,5,0.01979604079184163,0.10542891421715658,2,0,0.01979604079184163,0.10542891421715658,False,fdr_bh,marker,19,0.05
sleep/kolmogorov_complexity,sleep,3,0.1801639672065587,0.20940517778797182,0,0,0.1801639672065587,0.20940517778797182,False,fdr_bh,marker,19,0.05
sleep/psd_relative_alpha,sleep,1,0.0649870025994801,0.15434413117376525,0,0,0.0649870025994801,0.15434413117376525,False,fdr_bh,marker,19,0.05
sleep/psd_relative_beta,sleep,1,0.0609878024395121,0.15434413117376525,0,0,0.0609878024395121,0.15434413117376525,False,fdr_bh,marker,19,0.05
sleep/psd_relative_delta,sleep,3,0.0015996800639872025,0.03039392121575685,2,2,0.0015996800639872025,0.03039392121575685,True,fdr_bh,marker,19,0.05
sleep/psd_relative_gamma,sleep,2,0.10617876424715057,0.19825125883914127,0,0,0.10617876424715057,0.19825125883914127,False,fdr_bh,marker,19,0.05
sleep/psd_relative_theta,sleep,3,0.022195560887822437,0.10542891421715658,1,0,0.022195560887822437,0.10542891421715658,False,fdr_bh,marker,19,0.05
sleep/slowwaves_Density,sleep,5,0.013397320535892822,0.10542891421715658,1,0,0.013397320535892822,0.10542891421715658,False,fdr_bh,marker,19,0.05
sleep/slowwaves_Duration,sleep,2,0.32573485302939414,0.32573485302939414,0,0,0.32573485302939414,0.32573485302939414,False,fdr_bh,marker,19,0.05
sleep/slowwaves_Frequency,sleep,2,0.2673465306938612,0.2821991157324091,0,0,0.2673465306938612,0.2821991157324091,False,fdr_bh,marker,19,0.05
sleep/slowwaves_PTP,sleep,1,0.15296940611877624,0.20940517778797182,0,0,0.15296940611877624,0.20940517778797182,False,fdr_bh,marker,19,0.05
sleep/slowwaves_Slope,sleep,3,0.041191761647670466,0.15434413117376525,1,0,0.041191761647670466,0.15434413117376525,False,fdr_bh,marker,19,0.05
sleep/wsmi_alpha,sleep,2,0.05878824235152969,0.15434413117376525,0,0,0.05878824235152969,0.15434413117376525,False,fdr_bh,marker,19,0.05
sleep/wsmi_beta,sleep,2,0.1873625274945011,0.20940517778797182,0,0,0.1873625274945011,0.20940517778797182,False,fdr_bh,marker,19,0.05
sleep/wsmi_gamma,sleep,2,0.16016796640671865,0.20940517778797182,0,0,0.16016796640671865,0.20940517778797182,False,fdr_bh,marker,19,0.05
sleep/wsmi_theta,sleep,2,0.08058388322335533,0.1701215312493057,0,0,0.08058388322335533,0.1701215312493057,False,fdr_bh,marker,19,0.05
