Marker Type,Marker Name,N Subjects,N Observations,N Channels,Total Clusters,Sig Clusters (uncorr),Sig Clusters (corr),In Correction Family,Marker p (uncorr),Marker p (corr),Marker Rejected,Correction Method,Correction Unit,Correction Family Size,T-stat Min,T-stat Max,T-stat Mean (abs),Predictor,Threshold,N Permutations,Analysis Date
evoked,evoked/N1,33,1924,64,1,0,0,True,0.09898020395920816,0.39592081583683264,False,fdr_bh,marker,4,-2.5647801463797295,3.423985759446397,1.0904035573892372,valence,1.959963984540054,5000,2026-08-13T22:16:25.191149
evoked,evoked/P1,33,1924,64,0,0,0,True,1.0,1.0,False,fdr_bh,marker,4,-1.623161606367949,3.019781723441455,0.5357909513388566,valence,1.959963984540054,5000,2026-08-13T22:21:27.296530
evoked,evoked/P3a,33,1924,64,0,0,0,True,1.0,1.0,False,fdr_bh,marker,4,-2.176163643858664,2.7269260866398546,0.8523769219291253,valence,1.959963984540054,5000,2026-08-13T22:16:58.949512
evoked,evoked/P3b,33,1924,64,1,0,0,True,0.241751649670066,0.483503299340132,False,fdr_bh,marker,4,-2.3716328064518675,2.1467466926671697,0.9070173818036305,valence,1.959963984540054,5000,2026-08-13T22:17:44.146847
sleep,sleep/psd_relative_delta,33,1926,64,3,2,2,True,0.0015996800639872025,0.03039392121575685,True,fdr_bh,marker,19,-0.5881937581688198,5.023138685726061,2.0541899112131987,valence,1.959963984540054,5000,2026-08-13T23:09:46.307350
sleep,sleep/PE_alpha,33,1926,64,1,0,0,True,0.16876624675064986,0.20940517778797182,False,fdr_bh,marker,19,-2.581975014522704,1.3941962687980596,0.9212422806676372,valence,1.959963984540054,5000,2026-08-13T22:17:00.153585
sleep,sleep/PE_beta,33,1926,64,1,0,0,True,0.11477704459108179,0.19825125883914127,False,fdr_bh,marker,19,-2.838626920736902,1.8082193823825468,0.8317106699932693,valence,1.959963984540054,5000,2026-08-13T22:15:21.298918
sleep,sleep/PE_gamma,33,1926,64,2,0,0,True,0.130373925214957,0.2064253815903486,False,fdr_bh,marker,19,-2.708310348561176,1.9491628320594971,0.8879255635426462,valence,1.959963984540054,5000,2026-08-13T22:16:38.011846
sleep,sleep/PE_theta,33,1926,64,5,2,0,True,0.01979604079184163,0.10542891421715658,False,fdr_bh,marker,19,-3.9779383546732485,0.470098498204596,1.4102349647129349,valence,1.959963984540054,5000,2026-08-13T22:17:04.454542
sleep,sleep/kolmogorov_complexity,33,1926,64,3,0,0,True,0.1801639672065587,0.20940517778797182,False,fdr_bh,marker,19,-3.8301545896464937,2.5219492353855797,0.9163482663585891,valence,1.959963984540054,5000,2026-08-13T23:07:28.278595
